host,path,bytes,mtime_ns,verification,exists
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2026/checkpoints/rabbit02_gpu4_c3_epoch_latest.pth,528831904,1787433721661696730,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2026/checkpoints/rabbit02_gpu4_c3_epoch_best.pth,528829900,1787432181486871454,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2026/checkpoints/rabbit02_gpu4_c3_epoch_77.pth,528827832,1787432180906871046,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2028/checkpoints/rabbit02_gpu3_c3_seed2028_epoch_best.pth,528839142,1788463395252235777,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2028/checkpoints/rabbit02_gpu3_c3_seed2028_epoch_60.pth,528837074,1788463394692236380,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2028/checkpoints/rabbit02_gpu3_c3_seed2028_epoch_latest.pth,528841274,1788466909189359932,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2027/checkpoints/rabbit02_gpu3_c3_seed2027_epoch_latest.pth,528841274,1788447978694488702,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2027/checkpoints/rabbit02_gpu3_c3_seed2027_epoch_80.pth,528837138,1788446808296837827,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2027/checkpoints/rabbit02_gpu3_c3_seed2027_epoch_best.pth,528839206,1788446808864849539,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/STARSS_OfficialEINV2/results/out_train/ein_seld/STARSS23_C0_RealOnly_CkptFix_IOtuned_seed2026/checkpoints/None_epoch_latest.pth,1611364078,1787656801535992395,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/STARSS_OfficialEINV2/results/out_train/ein_seld/STARSS23_C0_RealOnly_CkptFix_IOtuned_seed2026/checkpoints/None_epoch_78.pth,1611353134,1787656665347542546,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/STARSS_OfficialEINV2/results/out_train/ein_seld/STARSS23_C0_RealOnly_CkptFix_IOtuned_seed2026/checkpoints/None_epoch_best.pth,1611358318,1787656667079548382,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/STARSS_OfficialEINV2/results/out_train/ein_seld/STARSS22_C0_RealOnly_CkptFix_IOtuned_seed2026/checkpoints/None_epoch_latest.pth,1611355950,1787650279873737440,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/STARSS_OfficialEINV2/results/out_train/ein_seld/STARSS22_C0_RealOnly_CkptFix_IOtuned_seed2026/checkpoints/None_epoch_64.pth,1611345006,1787649455499310844,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/STARSS_OfficialEINV2/results/out_train/ein_seld/STARSS22_C0_RealOnly_CkptFix_IOtuned_seed2026/checkpoints/None_epoch_best.pth,1611350190,1787649457107323726,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/STARSS_OfficialEINV2/results/out_train/ein_seld/STARSS22_C0_CheckpointSmoke_seed2026/checkpoints/None_epoch_latest.pth,1611355886,1787640457935131265,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/STARSS_OfficialEINV2/results/out_train/ein_seld/STARSS22_C0_CheckpointSmoke_seed2026/checkpoints/None_epoch_1.pth,1611342414,1787640459583134212,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/STARSS_OfficialEINV2/results/out_train/ein_seld/STARSS22_C0_CheckpointSmoke_seed2026/checkpoints/None_epoch_best.pth,1611350190,1787640461235137174,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/E0_OfflineEINV2_seed2028/checkpoints/completion_20260904_E0_seed2028_epoch_best.pth,419896343,1788498285662027812,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/E0_OfflineEINV2_seed2028/checkpoints/completion_20260904_E0_seed2028_epoch_latest.pth,419898001,1788498283889993662,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/E0_OfflineEINV2_seed2028/checkpoints/completion_20260904_E0_seed2028_epoch_90.pth,419894685,1788498285186018645,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/E0_OfflineEINV2_seed2027/checkpoints/completion_20260904_E0_seed2027_epoch_best.pth,419896407,1788497683485068257,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/E0_OfflineEINV2_seed2027/checkpoints/completion_20260904_E0_seed2027_epoch_82.pth,419894749,1788497682989047772,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/E0_OfflineEINV2_seed2027/checkpoints/completion_20260904_E0_seed2027_epoch_latest.pth,419898065,1788498350691241099,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/C0p1_CausalEINV2_fix_seed2026/checkpoints/rabbit02_gpu4_epoch_best.pth,419834301,1787288906138386495,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/C0p1_CausalEINV2_fix_seed2026/checkpoints/rabbit02_gpu4_epoch_90.pth,419832739,1787288905650386025,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/C0p1_CausalEINV2_fix_seed2026/checkpoints/rabbit02_gpu4_epoch_latest.pth,419835863,1787288902442382965,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/EINV2_C0_bestfix_seed2028/checkpoints/rabbit02_gpu3_bestfix_seed2028_epoch_latest.pth,419849204,1788456295675217182,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/EINV2_C0_bestfix_seed2028/checkpoints/rabbit02_gpu3_bestfix_seed2028_epoch_best.pth,419847642,1788452153503422839,exists_size_only,
rabbit02,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/EINV2_C0_bestfix_seed2028/checkpoints/rabbit02_gpu3_bestfix_seed2028_epoch_45.pth,419846080,1788452153055419717,exists_size_only,
