4,12,-152,23
5,12,-150,20
6,12,-148,16
7,12,-148,15
8,12,-148,14
9,12,-147,12
10,12,-147,11
11,12,-146,11
12,12,-146,11
13,12,-146,11
14,12,-145,12
15,12,-145,12
16,12,-144,12
17,12,-140,10
18,12,-138,8
18,12,46,-2
19,3,52,1
19,12,-139,8
20,3,51,1
20,12,-141,9
21,12,50,1
21,12,-140,8
22,12,51,1
23,12,-141,9
24,12,-140,7
25,12,-139,7
26,12,-138,7
27,12,-134,7
27,3,57,1
28,3,55,6
29,3,54,11
29,12,-139,10
30,3,54,10
30,12,-140,10
31,3,56,8
31,12,-140,10
32,3,58,9
32,12,-140,10
33,3,58,10
33,12,-139,9
34,3,55,10
34,12,-138,8
35,3,54,10
36,3,54,10
37,3,53,10
37,12,-140,10
38,3,52,10
39,3,53,11
39,12,-141,11
40,3,55,2
41,3,52,5
42,3,50,11
43,3,51,17
43,12,19,16
44,3,53,20
44,12,16,16
45,3,52,17
45,12,16,13
46,3,50,14
46,12,20,11
47,3,51,15
48,3,52,16
49,3,52,15
50,3,51,12
57,3,63,10
58,3,62,9
59,3,60,9
60,3,60,10
61,3,56,13
62,3,53,15
63,3,51,14
64,3,52,11
65,3,53,10
66,3,53,11
67,3,53,9
67,12,-15,0
68,3,48,9
69,12,-92,-1
69,3,41,9
70,12,-91,-2
70,3,42,9
71,12,-87,-2
71,3,48,12
72,12,-85,-1
72,3,55,18
73,12,-85,1
73,3,59,21
74,12,-86,3
74,3,54,25
75,12,-87,3
75,3,55,26
76,12,-86,3
76,3,62,23
77,12,-85,4
77,3,62,20
78,12,-83,4
78,3,63,19
79,12,-81,4
79,3,62,19
80,3,48,9
81,3,52,9
82,3,56,10
82,3,-84,16
83,3,56,10
83,3,-87,16
84,3,56,9
84,3,-91,17
85,3,56,10
85,3,-89,18
86,3,58,9
86,3,-88,18
87,0,-85,8
87,3,60,9
88,0,-85,11
88,3,63,10
89,0,-22,32
89,3,-91,12
90,3,57,10
90,3,-92,11
91,3,57,12
92,3,55,14
93,3,52,16
94,3,50,16
95,3,50,15
96,3,51,13
97,3,50,14
98,3,49,13
99,3,50,11
100,3,50,12
101,3,50,11
102,3,50,11
103,3,51,12
104,3,50,10
105,3,48,10
106,3,46,11
107,3,48,12
108,3,49,13
109,3,49,14
110,3,49,14
111,3,50,15
112,3,49,14
113,3,47,13
114,3,47,13
115,3,46,12
116,3,45,12
117,3,47,13
118,3,51,13
119,3,52,14
121,3,55,22
122,3,56,17
123,3,54,13
124,3,51,13
125,3,53,13
126,3,55,13
127,3,55,15
128,3,53,15
129,3,52,13
130,3,51,13
131,3,48,14
132,3,42,12
133,3,-22,-4
134,12,-25,-1
134,3,-6,3
135,12,-25,-3
136,12,-23,-4
137,12,-22,-4
138,12,-25,-4
138,3,52,11
139,12,-22,-5
139,3,48,10
140,3,-30,-9
140,3,24,5
141,12,-24,-6
141,3,16,1
142,12,-22,-6
142,3,36,3
143,12,-19,-6
143,3,46,5
144,12,-17,-5
144,3,46,6
145,12,-17,-3
145,3,46,7
146,12,-19,-2
146,3,46,7
147,12,-18,-4
147,3,45,6
148,3,-28,-8
148,3,30,2
149,3,-16,-9
150,3,22,0
150,3,-5,-7
151,3,0,-2
151,3,15,-1
152,3,17,-1
153,3,37,4
153,12,-25,-8
154,3,47,6
154,12,-25,-8
155,3,49,7
155,12,-28,-9
156,3,54,9
