6,2,56,-6
7,2,55,-8
8,7,55,-1
9,7,52,4
10,7,52,3
11,7,52,3
12,7,53,3
13,7,53,4
14,7,53,4
15,7,53,4
16,7,52,3
17,7,53,1
17,12,-13,-2
18,7,53,-1
18,12,-14,-2
19,7,52,-1
19,12,-19,-6
20,7,50,0
20,12,-21,-7
21,7,49,1
22,7,46,2
22,12,-29,-4
23,7,45,2
23,12,-28,-4
24,7,44,1
24,12,-26,-4
25,7,45,-1
25,12,-26,-4
26,7,44,0
26,12,-27,-2
27,7,42,1
27,12,-28,-3
28,7,34,3
28,12,-31,-3
29,7,26,5
29,12,-30,-5
30,7,22,6
30,12,-29,-5
31,7,23,6
32,7,27,7
33,7,35,6
33,1,-31,-8
34,7,43,7
35,7,50,6
36,7,54,5
37,7,56,3
38,7,58,2
39,7,58,1
40,7,56,1
41,7,53,3
41,8,7,13
42,7,54,2
42,8,23,6
43,7,53,1
44,7,54,-1
45,7,53,0
46,7,53,3
47,7,54,6
48,7,54,8
49,7,54,7
50,7,56,6
50,5,-24,-3
51,7,56,5
51,12,-24,-3
52,7,54,5
52,12,-24,-2
53,7,49,5
53,12,-24,-2
54,7,46,6
54,12,-27,1
55,7,47,6
55,12,-27,1
56,7,49,6
56,12,-26,1
57,7,48,6
57,12,-26,1
58,7,37,6
58,12,-26,1
59,7,20,7
59,12,-25,0
60,7,-1,3
60,12,-25,-1
61,7,-7,2
61,5,-24,-1
62,7,3,2
62,5,-25,-1
63,7,19,5
64,7,34,7
64,5,-29,0
65,7,44,8
65,5,-30,0
66,7,52,8
67,7,55,8
68,7,56,8
69,7,58,8
70,7,59,7
71,7,58,7
72,7,58,5
73,7,57,3
74,7,59,0
74,1,-34,-1
75,7,58,0
75,1,-33,-1
76,7,57,0
76,1,-33,-1
77,7,51,1
77,1,-33,-1
78,7,44,3
78,1,-32,-1
79,7,39,5
79,1,-31,-1
80,7,25,5
81,7,27,5
81,7,24,-1
82,7,17,2
82,7,1,-3
83,7,13,-1
83,7,-4,-1
84,7,12,-2
84,7,-8,1
85,7,9,-3
85,7,-9,1
86,7,2,-5
86,7,-7,0
87,7,-1,-7
87,7,-8,0
88,7,0,-9
88,7,-8,-1
89,7,14,-7
90,7,34,-1
91,7,47,5
92,7,54,8
93,7,58,9
94,7,59,9
95,7,57,9
96,7,55,9
97,7,54,9
98,7,53,9
99,7,54,8
99,1,-27,-6
100,7,53,8
100,1,-27,-6
101,7,53,8
101,1,-27,-7
102,7,52,8
102,1,-27,-7
103,7,45,8
103,1,-24,-7
104,7,39,7
104,1,-19,-7
105,7,29,7
105,1,-20,-6
106,7,12,6
106,1,-18,-6
107,7,-10,4
107,1,-12,-6
108,7,-20,2
108,1,-8,-6
109,7,-21,2
109,1,-8,-6
110,7,-20,3
110,1,-7,-7
111,7,-17,4
111,1,-8,-7
112,7,-1,7
112,1,-12,-7
113,7,16,8
113,1,-16,-7
114,7,30,9
114,1,-20,-7
115,7,36,9
115,1,-22,-7
116,7,42,8
116,1,-24,-7
117,7,44,9
117,1,-26,-7
118,7,46,8
118,1,-27,-7
119,7,48,8
120,7,58,5
121,7,54,5
122,7,54,5
122,8,-3,13
123,7,55,6
123,8,8,11
124,7,55,7
125,7,55,7
125,12,-18,15
126,7,56,7
126,12,-11,14
127,7,57,5
127,12,-21,-3
128,7,58,2
128,12,-17,-5
129,7,59,2
129,12,-16,-4
130,7,57,2
130,5,-15,0
131,7,54,3
132,7,51,4
133,7,46,4
133,5,-13,-1
134,7,43,5
134,5,-14,-1
135,7,44,5
135,5,-13,-1
136,7,46,3
136,5,-11,0
137,7,43,2
137,0,-11,0
138,7,31,1
138,0,-12,0
139,7,22,-1
139,12,-11,-1
140,7,28,0
141,7,36,2
142,7,40,4
143,7,42,7
144,7,46,9
145,7,51,9
146,7,53,9
147,7,53,8
148,7,53,8
149,7,53,8
150,7,53,8
151,7,54,7
152,7,56,5
153,7,56,4
154,7,58,2
154,1,-27,-2
155,7,57,4
155,1,-26,-2
156,7,52,5
156,1,-23,-1
158,1,-23,-5
159,1,-25,-4
160,1,-30,2
161,1,-30,4
162,1,-29,2
163,1,-27,1
164,1,-27,-1
165,1,-27,-1
175,4,-34,-4
176,2,-30,4
177,2,-26,4
178,2,-24,5
179,2,-24,5
180,2,-24,4
181,2,-23,4
182,2,-21,4
183,2,-19,5
184,2,-17,5
185,2,-16,3
186,2,-15,2
187,2,-14,2
188,2,-14,1
189,2,-14,2
190,2,-13,2
191,2,-12,2
192,2,-11,3
193,2,-11,3
194,2,-12,3
195,2,-11,2
196,2,-9,2
197,2,-8,3
198,2,-5,4
199,2,-4,4
200,7,0,5
201,7,1,3
202,2,2,5
203,2,4,5
204,2,5,3
205,2,7,3
206,2,8,2
207,2,8,2
208,2,8,2
209,2,9,2
210,2,10,2
211,2,11,2
212,2,12,2
213,2,13,2
214,2,14,3
215,2,16,3
216,2,16,4
